"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,21,3.88888888888888840e-01,1,5.00000000000000000e-01,2,5.00000000000000000e-01,2,1.7267756060000465
1,24,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,1.7294933559999208
2,27,,,2.50000000000000000e-01,1,2.50000000000000000e-01,1,1.7450230130000364
3,30,3.33333333333333315e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,1.7475190659999953
20,30600,7.57844581412690288e-01,374,7.42878497450502717e-01,567,7.55192575616803974e-01,362,204.26653200300007
40,64911,7.57084272195051144e-01,569,7.78667318573780465e-01,545,7.60237229098405187e-01,606,447.31872554100005
60,94875,7.50223376749448723e-01,550,7.43025272643553336e-01,476,7.59170957934275248e-01,512,663.117997002
80,121725,7.44548297035317663e-01,471,7.52716929730440909e-01,427,7.66015732409908390e-01,533,858.312806009
100,147255,7.58938365374525636e-01,332,7.68572712966086202e-01,405,7.30707261985387491e-01,260,1039.1994944169999
120,155016,7.56288683255691985e-01,97,7.24936985341499973e-01,124,7.64026023974316737e-01,67,1091.660977845
140,161388,7.54408803481381174e-01,67,7.54781507341341529e-01,102,7.75978435141539302e-01,82,1135.5119289810002
160,164268,6.72254809977282375e-01,80,6.86339636481038351e-01,46,7.27719707034448215e-01,62,1154.428372785
180,169680,7.70954286325364890e-01,90,7.85164210081393366e-01,86,7.58326996726815472e-01,59,1193.0211788509998
200,174612,7.60431449020046890e-01,79,7.48100990722281423e-01,79,7.44884244412307051e-01,57,1231.496880686
220,179064,7.67424434259222576e-01,85,7.51661016379626234e-01,71,7.66994751125999241e-01,65,1268.405461858
240,182628,7.13305637775627166e-01,56,7.55566471440294984e-01,57,7.28989901209739277e-01,70,1297.3327388690002
260,185691,7.24078843243217030e-01,69,7.33619001838353157e-01,49,7.52866824911493815e-01,68,1322.549413855
280,191331,7.77239459263096899e-01,99,7.52626973489753270e-01,90,7.75109981633285927e-01,55,1371.7325701749999
300,196218,7.40971399159583877e-01,98,7.63160789746978763e-01,63,7.70968950088347649e-01,57,1411.2375064599998
320,200784,7.51594023202433958e-01,73,7.63586322879009516e-01,52,7.59373669417139130e-01,60,1449.3314359530002
340,205437,7.59338355969625622e-01,74,7.73081994698489150e-01,58,7.67931769373116024e-01,51,1486.309720946
360,209808,7.71644450321852360e-01,70,7.62926462908694814e-01,54,7.71079978515721409e-01,54,1520.6717680570002
380,213861,7.51662843280414550e-01,65,7.59083858939162859e-01,60,7.24909806477041840e-01,62,1554.217288855
400,218025,7.56288447422495347e-01,67,7.68989833023734692e-01,57,7.44163052077982501e-01,69,1586.425969875
420,222600,7.46844488372999327e-01,73,7.44655900807184468e-01,53,7.70911080128490300e-01,71,1621.206178096
440,226668,7.70385160366714006e-01,65,7.60505355853216103e-01,84,8.39538320741511912e-01,61,1652.601883348
460,231054,7.19990330976567394e-01,70,7.42011458592184425e-01,72,8.75130719485620934e-01,61,1685.573733818
480,237027,7.56539319952563183e-01,95,8.21831401337575151e-01,66,8.56663492600862275e-01,62,1731.998037946
500,241245,7.65898807805533877e-01,67,8.35136594473094962e-01,61,8.64676408606442237e-01,61,1766.304250088
520,245025,8.16545935481674534e-01,60,8.66038630470517989e-01,60,8.47809221409513980e-01,60,1796.339835384
540,248805,8.44677799301127963e-01,60,8.79049106234813804e-01,60,8.81574750260379902e-01,60,1826.247802954
560,252585,8.48951240554616682e-01,60,8.71237754700781020e-01,60,8.47647602636941944e-01,60,1855.8459628530002
580,256365,8.55276577784785497e-01,60,8.80516225072931036e-01,60,8.19584224813900586e-01,60,1890.2394940380002
600,260145,8.30433938740606781e-01,60,8.58205656202060907e-01,60,8.44917556560415339e-01,60,1922.4898143570001
620,263925,7.94391432374415896e-01,60,8.61389050920706056e-01,60,8.69007583630378999e-01,60,1955.6476435490001
640,267705,8.42339137289702000e-01,60,8.51674544852373039e-01,60,8.66583269992443617e-01,60,1987.834869597
660,271485,8.06362543403047027e-01,60,8.29700856160112132e-01,60,8.06021504744141026e-01,60,2017.4086893229999
680,275265,8.07507742012002261e-01,60,8.34693665434781629e-01,60,8.59920310938817822e-01,60,2043.3838777930002
700,279045,7.74583391311042146e-01,60,8.66488648692638419e-01,60,8.31332481389366884e-01,60,2071.211486362
720,282825,8.55445120554706562e-01,60,8.54219949889443830e-01,60,8.40661532450119431e-01,60,2097.1729704729996
740,286605,7.96334169043609763e-01,60,8.64289911126243870e-01,60,8.55483573539416731e-01,60,2125.910879244
760,290385,8.39728700332382338e-01,60,8.27993497222004660e-01,60,8.32464375574353488e-01,60,2150.1393633830003
780,294165,8.69927871785107110e-01,60,8.74007852781393035e-01,60,8.39242900026183403e-01,60,2176.8644787519997
800,297945,8.04657958862424527e-01,60,8.69161537001801876e-01,60,8.16261958668125898e-01,60,2202.0221962060004
820,301725,8.53757246282501492e-01,60,8.49138322727315265e-01,60,9.00086518963302495e-01,60,2227.316066528
840,305505,8.29598115639846867e-01,60,8.50715198451185151e-01,60,8.81250249919739770e-01,60,2252.572398294
860,309285,8.69992730670917647e-01,60,8.51148974922905865e-01,60,8.30190271564649640e-01,60,2276.830041227
880,313065,8.38388546264491663e-01,60,8.62517825801078941e-01,60,8.13736419431167701e-01,60,2302.820135522
900,316446,8.20684151423255903e-01,60,8.39339581666154966e-01,60,8.38865769337174827e-01,59,2325.9028932740002
920,318966,8.32414054578213713e-01,60,8.38388382547474387e-01,60,,,2344.917502401
940,321486,8.61396460612570358e-01,60,8.06229532324164833e-01,60,,,2364.044565505
960,323643,8.56287249024566766e-01,60,8.03361699321178291e-01,60,,,2383.507833306
980,324903,8.19964126747387723e-01,60,,,,,2402.1814889839998
